,sku_config,Cat1,Cat2,Cat3,Cat4,Brand,main_cat,parent_cat,main_cat_rec_share,parent_cat_rec_share,brand_rec_share
462,OS100HL62RNTLMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,Oster,hornos y estufas,cocina,0.0,0.0,0.0
675,AP068EL63ERWLMX,"TV, Audio y Video",Tv y Video,TV Internet,,Apple,tv internet,tv y video,0.0,0.0,0.0
1329,SC623HL0GV0NALMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,Schones Bauen,hornos y estufas,cocina,0.0,0.0,0.0
1459,SC623HL33ENULMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,Schones Bauen,hornos y estufas,cocina,0.0,0.0,0.0
1487,TE436HL91FDGLMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,TEKHNO-HOME,hornos y estufas,cocina,0.0,0.0,0.0
1741,FA249HL17PCKLMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,Farberware,hornos y estufas,cocina,0.0,0.0,0.0
1842,EA507HL73JAWLMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,Easy Shop,hornos y estufas,cocina,0.0,0.0,0.0
2034,AR600EL1NHWFCLMX,Camaras y Lentes,Camaras,Otras Camaras,Camaras Espias,Ar Drone,camaras espias,otras camaras,0.0,0.0,0.0
2035,AR600EL1NHWFCLMX,Camaras y Lentes,Camaras,Otras Camaras,Camaras Espias,Ar Drone,camaras espias,otras camaras,0.0,0.0,0.0
2036,AR600EL1NHWFCLMX,Camaras y Lentes,Camaras,Otras Camaras,Camaras Espias,Ar Drone,camaras espias,otras camaras,0.0,0.0,0.0
2037,AR600EL1NHWFCLMX,Camaras y Lentes,Camaras,Otras Camaras,Camaras Espias,Ar Drone,camaras espias,otras camaras,0.0,0.0,0.0
2045,FR580HL0Y0LZ0LMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,Frigidaire,hornos y estufas,cocina,0.0,0.0,0.0
2272,ET322EL35MLCLMX,"TV, Audio y Video",Tv y Video,TV Internet,,Gadgets One,tv internet,tv y video,0.0,0.0,0.0
2491,EX331HL0CM7BSLMX,Hogar,Muebles,Muebles Cocina,Alacenas,Excelsior,alacenas,muebles cocina,0.0,0.0,0.0
2495,MO702EL05NOCGLMX,Camaras y Lentes,Camaras,Otras Camaras,Otras Camaras,Mobile City,otras camaras,otras camaras,0.0,0.0,0.0
2657,MY433TB62RNPLMX,"Juguetes, ninos y bebes",Juguetes,Triciclos y Montables,Vehiculos Montables,Mytoy,vehiculos montables,triciclos y montables,0.0,0.0,0.0
2763,NI461HL58SSJLMX,Electrodomesticos,Linea Blanca,Cocina,,Nikken ,cocina,linea blanca,0.0,0.0,0.0
2788,NI351HL0WRCCCLMX,Hogar,Muebles,Muebles Cocina,Accesorios Cocina,Ninja,accesorios cocina,muebles cocina,0.0,0.0,0.0
2916,FI562TB0MIHHQLMX,"Juguetes, ninos y bebes",Juguetes,Triciclos y Montables,,Fisher Price,triciclos y montables,juguetes,0.0,0.0,0.0
2933,SU744HL0JZ3QWLMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,Supra,hornos y estufas,cocina,0.0,0.0,0.0
3294,MA926HL0GC890LMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,Mabe,hornos y estufas,cocina,0.0,0.0,0.0
3306,GA546HL43HYQLMX,"Juguetes, ninos y bebes",Juguetes,Juguetes para Ninos,Figuras de Accion,Garumi,figuras de accion,juguetes para ninos,0.0,0.0,0.0
3401,BE330HL1LP9CCLMX,Hogar,Muebles,Muebles Cocina,Antecomedores,Beestudio ,antecomedores,muebles cocina,0.0,0.0,0.0
3507,BM779TB1MPIA4LMX,"Juguetes, ninos y bebes",Juguetes,Triciclos y Montables,Vehiculos Montables,BMW,vehiculos montables,triciclos y montables,0.0,0.0,0.0
3602,SI874HB87RMQLMX,Electrodomesticos,Pequenos Electrodomesticos,Limpieza del Hogar,Articulos de Limpieza,Silk'n,articulos de limpieza,limpieza del hogar,0.0,0.0,0.0
3901,NI461HL1GW7K4LMX,Electrodomesticos,Linea Blanca,Cocina,Dispensadores de Agua,Nikken ,dispensadores de agua,cocina,0.0,0.0,0.0
4028,XX673TB0FI95SLMX,"Juguetes, ninos y bebes",Juguetes,Triciclos y Montables,Scooters,Smarttech,scooters,triciclos y montables,0.0,0.0,0.0
4146,SA291EL0XVHHCLMX,"TV, Audio y Video",Tv y Video,TV Internet,,Samsung,tv internet,tv y video,0.0,0.0,0.0
4669,CO579HL18EVW4LMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,CORPORACION,hornos y estufas,cocina,0.0,0.0,0.0
4714,OF066HL37BYKLMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,Ofertas,hornos y estufas,cocina,0.0,0.0,0.0
4721,HA657HL0EY9VCLMX,Electrodomesticos,Pequenos Electrodomesticos,Preparacion de Bebidas,Cafeteras,Hamilton Beach,cafeteras,preparacion de bebidas,0.0,0.0,0.0
4897,IR474HL36IILLMX,Electrodomesticos,Pequenos Electrodomesticos,Limpieza del Hogar,Articulos de Limpieza,iRobot,articulos de limpieza,limpieza del hogar,0.0,0.0,0.0
5045,OF214HL09FFQLMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,OFERTAS CREATIVAS,hornos y estufas,cocina,0.0,0.0,0.0
5195,BL008HL167NI0LMX,Electrodomesticos,Linea Blanca,Cocina,Frigobares,Black &amp; Decker,frigobares,cocina,0.0,0.0,0.0
5392,MI274HL00JLKKLMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,Mirage,hornos y estufas,cocina,0.0,0.0,0.0
5466,MU128HL89TVALMX,Hogar,Muebles,Muebles Cocina,Cocinas Integrales,Muebles Camacho,cocinas integrales,muebles cocina,0.0,0.0,0.0
5546,AL288EL1AYKNWLMX,Camaras y Lentes,Camaras,Otras Camaras,Otras Camaras,Alcar Gadget,otras camaras,otras camaras,0.0,0.0,0.0
5577,OS100HL71XIQLMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,Oster,hornos y estufas,cocina,0.0,0.0,0.0
5834,EN473HL15VKMLMX,Electrodomesticos,Linea Blanca,Cocina,Refrigeradores,Enthes,refrigeradores,cocina,0.0,0.0,0.0
6007,CA682HL1JN2ICLMX,Hogar,Muebles,Muebles Cocina,Accesorios Cocina,Casa Nueva ,accesorios cocina,muebles cocina,0.0,0.0,0.0
6137,GO503EL0GKRNOLMX,"TV, Audio y Video",Tv y Video,TV Internet,,Google,tv internet,tv y video,0.0,0.0,0.0
6201,BE730TB32VEPLMX,"Juguetes, ninos y bebes",Juguetes,Juguetes para Ninos,PIstolas y Lanzadores,Best Toys,pistolas y lanzadores,juguetes para ninos,0.0,0.0,0.0
6288,SM495TB14JX4ELMX,"Juguetes, ninos y bebes",Juguetes,Juguetes para Ninos,Vehiculos Radiocontrol,Gyro,vehiculos radiocontrol,juguetes para ninos,0.0,0.0,0.0
6396,ME327HL49MDYLMX,Electrodomesticos,Linea Blanca,Cocina,Hornos y Estufas,MERCADOT,hornos y estufas,cocina,0.0,0.0,0.0
6633,LI200HL88KCDLMX,Electrodomesticos,Pequenos Electrodomesticos,Preparacion de Bebidas,Extractores,Hurom ,extractores,preparacion de bebidas,0.0,0.0,0.0
7016,NI461HL75XIMLMX,Electrodomesticos,Linea Blanca,Cocina,,Nikken ,cocina,linea blanca,0.0,0.0,0.0
7155,KE498HL38NCVLMX,Hogar,Muebles,Muebles Cocina,Accesorios Cocina,Keia,accesorios cocina,muebles cocina,0.0,0.0,0.0
7237,GA306HL49KGOLMX,Electrodomesticos,Pequenos Electrodomesticos,Preparacion de Bebidas,Cafeteras,Gaggia,cafeteras,preparacion de bebidas,0.0,0.0,0.0
